anomaly_type,detection_method,level,study,site_id,country,region,metric,value,zscore,mean,std,severity,description,recommendation,lower_bound,upper_bound
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 605,USA,AMERICA,avg_dqi_score,0.223530775254712,3.01,0.045,0.06,HIGH,avg_dqi_score is 3.0 standard deviations above the mean (0.224 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 618,USA,AMERICA,avg_dqi_score,0.3458495977755077,5.06,0.045,0.06,CRITICAL,avg_dqi_score is 5.1 standard deviations above the mean (0.346 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 620,USA,AMERICA,avg_dqi_score,0.2179563107806468,2.91,0.045,0.06,MEDIUM,avg_dqi_score is 2.9 standard deviations above the mean (0.218 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 625,CAN,AMERICA,avg_dqi_score,0.1967391981248063,2.56,0.045,0.06,MEDIUM,avg_dqi_score is 2.6 standard deviations above the mean (0.197 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 628,CAN,AMERICA,avg_dqi_score,0.3554489203357718,5.22,0.045,0.06,CRITICAL,avg_dqi_score is 5.2 standard deviations above the mean (0.355 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 634,GRC,EMEA,avg_dqi_score,0.2230263157894737,3.0,0.045,0.06,MEDIUM,avg_dqi_score is 3.0 standard deviations above the mean (0.223 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 635,GRC,EMEA,avg_dqi_score,0.3894621379774849,5.79,0.045,0.06,CRITICAL,avg_dqi_score is 5.8 standard deviations above the mean (0.389 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 637,BEL,EMEA,avg_dqi_score,0.2114273229695299,2.8,0.045,0.06,MEDIUM,avg_dqi_score is 2.8 standard deviations above the mean (0.211 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 638,BEL,EMEA,avg_dqi_score,0.2870504786875782,4.07,0.045,0.06,CRITICAL,avg_dqi_score is 4.1 standard deviations above the mean (0.287 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 640,BEL,EMEA,avg_dqi_score,0.2045286410725168,2.69,0.045,0.06,MEDIUM,avg_dqi_score is 2.7 standard deviations above the mean (0.205 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 641,BEL,EMEA,avg_dqi_score,0.2505566246512075,3.46,0.045,0.06,HIGH,avg_dqi_score is 3.5 standard deviations above the mean (0.251 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 646,FRA,EMEA,avg_dqi_score,0.2880018401808911,4.09,0.045,0.06,CRITICAL,avg_dqi_score is 4.1 standard deviations above the mean (0.288 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 649,ESP,EMEA,avg_dqi_score,0.2804856634273068,3.96,0.045,0.06,HIGH,avg_dqi_score is 4.0 standard deviations above the mean (0.280 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 652,ESP,EMEA,avg_dqi_score,0.2053594624860023,2.7,0.045,0.06,MEDIUM,avg_dqi_score is 2.7 standard deviations above the mean (0.205 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 658,ITA,EMEA,avg_dqi_score,0.2150155202620353,2.86,0.045,0.06,MEDIUM,avg_dqi_score is 2.9 standard deviations above the mean (0.215 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 659,ITA,EMEA,avg_dqi_score,0.3110389816672655,4.47,0.045,0.06,CRITICAL,avg_dqi_score is 4.5 standard deviations above the mean (0.311 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 662,ITA,EMEA,avg_dqi_score,0.2915811724237468,4.15,0.045,0.06,CRITICAL,avg_dqi_score is 4.1 standard deviations above the mean (0.292 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 671,DEU,EMEA,avg_dqi_score,0.2109202174006008,2.79,0.045,0.06,MEDIUM,avg_dqi_score is 2.8 standard deviations above the mean (0.211 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 672,DEU,EMEA,avg_dqi_score,0.281002838448956,3.97,0.045,0.06,HIGH,avg_dqi_score is 4.0 standard deviations above the mean (0.281 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 674,DEU,EMEA,avg_dqi_score,0.2749745020687001,3.87,0.045,0.06,HIGH,avg_dqi_score is 3.9 standard deviations above the mean (0.275 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 678,ARG,AMERICA,avg_dqi_score,0.2487456074029983,3.43,0.045,0.06,HIGH,avg_dqi_score is 3.4 standard deviations above the mean (0.249 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 679,ARG,AMERICA,avg_dqi_score,0.263766830820618,3.68,0.045,0.06,HIGH,avg_dqi_score is 3.7 standard deviations above the mean (0.264 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 696,AUS,ASIA,avg_dqi_score,0.215926700463453,2.88,0.045,0.06,MEDIUM,avg_dqi_score is 2.9 standard deviations above the mean (0.216 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 706,JPN,ASIA,avg_dqi_score,0.2232347142068482,3.0,0.045,0.06,HIGH,avg_dqi_score is 3.0 standard deviations above the mean (0.223 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 709,JPN,ASIA,avg_dqi_score,0.2450476799032081,3.37,0.045,0.06,HIGH,avg_dqi_score is 3.4 standard deviations above the mean (0.245 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 720,KOR,ASIA,avg_dqi_score,0.2201937151278628,2.95,0.045,0.06,MEDIUM,avg_dqi_score is 2.9 standard deviations above the mean (0.220 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 741,CHN,ASIA,avg_dqi_score,0.3118921878166769,4.49,0.045,0.06,CRITICAL,avg_dqi_score is 4.5 standard deviations above the mean (0.312 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 745,CHN,ASIA,avg_dqi_score,0.2030509374441588,2.66,0.045,0.06,MEDIUM,avg_dqi_score is 2.7 standard deviations above the mean (0.203 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 759,TUR,EMEA,avg_dqi_score,0.3884540184153689,5.77,0.045,0.06,CRITICAL,avg_dqi_score is 5.8 standard deviations above the mean (0.388 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 771,ISR,EMEA,avg_dqi_score,0.2011762203769126,2.63,0.045,0.06,MEDIUM,avg_dqi_score is 2.6 standard deviations above the mean (0.201 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_17,Site 14,CAN,AMERICA,avg_dqi_score,0.2324381950216557,3.15,0.045,0.06,HIGH,avg_dqi_score is 3.2 standard deviations above the mean (0.232 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_17,Site 15,CAN,AMERICA,avg_dqi_score,0.2999932812889233,4.29,0.045,0.06,CRITICAL,avg_dqi_score is 4.3 standard deviations above the mean (0.300 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_17,Site 16,CAN,AMERICA,avg_dqi_score,0.206254501655545,2.72,0.045,0.06,MEDIUM,avg_dqi_score is 2.7 standard deviations above the mean (0.206 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_17,Site 177,USA,AMERICA,avg_dqi_score,0.2156700445286461,2.87,0.045,0.06,MEDIUM,avg_dqi_score is 2.9 standard deviations above the mean (0.216 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_17,Site 19,USA,AMERICA,avg_dqi_score,0.2163598501727111,2.88,0.045,0.06,MEDIUM,avg_dqi_score is 2.9 standard deviations above the mean (0.216 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_17,Site 325,USA,AMERICA,avg_dqi_score,0.3034617939747351,4.35,0.045,0.06,CRITICAL,avg_dqi_score is 4.3 standard deviations above the mean (0.303 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_17,Site 466,FRA,EMEA,avg_dqi_score,0.3137603177423565,4.52,0.045,0.06,CRITICAL,avg_dqi_score is 4.5 standard deviations above the mean (0.314 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_17,Site 7,ESP,EMEA,avg_dqi_score,0.2354437401894747,3.21,0.045,0.06,HIGH,avg_dqi_score is 3.2 standard deviations above the mean (0.235 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_17,Site 775,ESP,EMEA,avg_dqi_score,0.2338848616186853,3.18,0.045,0.06,HIGH,avg_dqi_score is 3.2 standard deviations above the mean (0.234 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_19,Site 109,AUS,ASIA,avg_dqi_score,0.2685107922348121,3.76,0.045,0.06,HIGH,avg_dqi_score is 3.8 standard deviations above the mean (0.269 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_19,Site 155,TWN,ASIA,avg_dqi_score,0.2952045285185815,4.21,0.045,0.06,CRITICAL,avg_dqi_score is 4.2 standard deviations above the mean (0.295 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_19,Site 417,KOR,ASIA,avg_dqi_score,0.3019671004010473,4.32,0.045,0.06,CRITICAL,avg_dqi_score is 4.3 standard deviations above the mean (0.302 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_19,Site 467,AUS,ASIA,avg_dqi_score,0.2979176250995454,4.25,0.045,0.06,CRITICAL,avg_dqi_score is 4.3 standard deviations above the mean (0.298 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_19,Site 493,ISR,EMEA,avg_dqi_score,0.2729439863255842,3.83,0.045,0.06,HIGH,avg_dqi_score is 3.8 standard deviations above the mean (0.273 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_19,Site 779,ISR,EMEA,avg_dqi_score,0.302685923524631,4.33,0.045,0.06,CRITICAL,avg_dqi_score is 4.3 standard deviations above the mean (0.303 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_19,Site 782,USA,AMERICA,avg_dqi_score,0.2525754222613829,3.49,0.045,0.06,HIGH,avg_dqi_score is 3.5 standard deviations above the mean (0.253 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_20,Site 124,NLD,EMEA,avg_dqi_score,0.216772504289222,2.89,0.045,0.06,MEDIUM,avg_dqi_score is 2.9 standard deviations above the mean (0.217 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_20,Site 47,AUS,ASIA,avg_dqi_score,0.2854017357222844,4.04,0.045,0.06,CRITICAL,avg_dqi_score is 4.0 standard deviations above the mean (0.285 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_20,Site 87,ITA,EMEA,avg_dqi_score,0.2479082369715014,3.41,0.045,0.06,HIGH,avg_dqi_score is 3.4 standard deviations above the mean (0.248 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_22,Site 1792,ROU,EMEA,avg_dqi_score,0.2472531992687385,3.4,0.045,0.06,HIGH,avg_dqi_score is 3.4 standard deviations above the mean (0.247 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 10,HKG,ASIA,avg_dqi_score,0.2129386512305187,2.83,0.045,0.06,MEDIUM,avg_dqi_score is 2.8 standard deviations above the mean (0.213 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 1034,USA,AMERICA,avg_dqi_score,0.1946186514399457,2.52,0.045,0.06,MEDIUM,avg_dqi_score is 2.5 standard deviations above the mean (0.195 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 1037,USA,AMERICA,avg_dqi_score,0.1960941354556949,2.54,0.045,0.06,MEDIUM,avg_dqi_score is 2.5 standard deviations above the mean (0.196 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 1042,USA,AMERICA,avg_dqi_score,0.3855186802077111,5.72,0.045,0.06,CRITICAL,avg_dqi_score is 5.7 standard deviations above the mean (0.386 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 110,HKG,ASIA,avg_dqi_score,0.2421325569183823,3.32,0.045,0.06,HIGH,avg_dqi_score is 3.3 standard deviations above the mean (0.242 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 1791,ISR,EMEA,avg_dqi_score,0.2966733795926222,4.23,0.045,0.06,CRITICAL,avg_dqi_score is 4.2 standard deviations above the mean (0.297 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2015,USA,AMERICA,avg_dqi_score,0.2205785106818626,2.96,0.045,0.06,MEDIUM,avg_dqi_score is 3.0 standard deviations above the mean (0.221 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2163,IND,ASIA,avg_dqi_score,0.2731336318782571,3.84,0.045,0.06,HIGH,avg_dqi_score is 3.8 standard deviations above the mean (0.273 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2165,KOR,ASIA,avg_dqi_score,0.2174298493484248,2.9,0.045,0.06,MEDIUM,avg_dqi_score is 2.9 standard deviations above the mean (0.217 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2170,TUR,EMEA,avg_dqi_score,0.2507778752699784,3.46,0.045,0.06,HIGH,avg_dqi_score is 3.5 standard deviations above the mean (0.251 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2171,TUR,EMEA,avg_dqi_score,0.2415643357295812,3.31,0.045,0.06,HIGH,avg_dqi_score is 3.3 standard deviations above the mean (0.242 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2172,TUR,EMEA,avg_dqi_score,0.1972515290519877,2.56,0.045,0.06,MEDIUM,avg_dqi_score is 2.6 standard deviations above the mean (0.197 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2176,TUR,EMEA,avg_dqi_score,0.2272875111935643,3.07,0.045,0.06,HIGH,avg_dqi_score is 3.1 standard deviations above the mean (0.227 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2177,TUR,EMEA,avg_dqi_score,0.2419058165589469,3.31,0.045,0.06,HIGH,avg_dqi_score is 3.3 standard deviations above the mean (0.242 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2178,TUR,EMEA,avg_dqi_score,0.2648663292296757,3.7,0.045,0.06,HIGH,avg_dqi_score is 3.7 standard deviations above the mean (0.265 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2181,TUR,EMEA,avg_dqi_score,0.217591994155205,2.91,0.045,0.06,MEDIUM,avg_dqi_score is 2.9 standard deviations above the mean (0.218 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2183,CHN,ASIA,avg_dqi_score,0.243154705128244,3.33,0.045,0.06,HIGH,avg_dqi_score is 3.3 standard deviations above the mean (0.243 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2184,CHN,ASIA,avg_dqi_score,0.2099529789988458,2.78,0.045,0.06,MEDIUM,avg_dqi_score is 2.8 standard deviations above the mean (0.210 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2186,CHN,ASIA,avg_dqi_score,0.2450920359922445,3.37,0.045,0.06,HIGH,avg_dqi_score is 3.4 standard deviations above the mean (0.245 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 2188,ISR,EMEA,avg_dqi_score,0.2535167587767664,3.51,0.045,0.06,HIGH,avg_dqi_score is 3.5 standard deviations above the mean (0.254 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 259,AUS,ASIA,avg_dqi_score,0.3015562840586651,4.32,0.045,0.06,CRITICAL,avg_dqi_score is 4.3 standard deviations above the mean (0.302 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 28,AUS,ASIA,avg_dqi_score,0.2548842486093664,3.53,0.045,0.06,HIGH,avg_dqi_score is 3.5 standard deviations above the mean (0.255 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 326,USA,AMERICA,avg_dqi_score,0.2432944179931149,3.34,0.045,0.06,HIGH,avg_dqi_score is 3.3 standard deviations above the mean (0.243 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 327,USA,AMERICA,avg_dqi_score,0.3207771636311864,4.64,0.045,0.06,CRITICAL,avg_dqi_score is 4.6 standard deviations above the mean (0.321 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 338,USA,AMERICA,avg_dqi_score,0.344248915132661,5.03,0.045,0.06,CRITICAL,avg_dqi_score is 5.0 standard deviations above the mean (0.344 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 423,CHN,ASIA,avg_dqi_score,0.1967760740152855,2.56,0.045,0.06,MEDIUM,avg_dqi_score is 2.6 standard deviations above the mean (0.197 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 469,TWN,ASIA,avg_dqi_score,0.203062876246496,2.66,0.045,0.06,MEDIUM,avg_dqi_score is 2.7 standard deviations above the mean (0.203 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 5,TUR,EMEA,avg_dqi_score,0.2634541801516433,3.68,0.045,0.06,HIGH,avg_dqi_score is 3.7 standard deviations above the mean (0.263 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 520,DEU,EMEA,avg_dqi_score,0.1941828235626764,2.51,0.045,0.06,MEDIUM,avg_dqi_score is 2.5 standard deviations above the mean (0.194 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 522,DEU,EMEA,avg_dqi_score,0.2478230939618883,3.41,0.045,0.06,HIGH,avg_dqi_score is 3.4 standard deviations above the mean (0.248 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 524,ISR,EMEA,avg_dqi_score,0.3944978026349074,5.88,0.045,0.06,CRITICAL,avg_dqi_score is 5.9 standard deviations above the mean (0.394 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 530,PRT,EMEA,avg_dqi_score,0.2330207563674185,3.16,0.045,0.06,HIGH,avg_dqi_score is 3.2 standard deviations above the mean (0.233 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 558,TUR,EMEA,avg_dqi_score,0.4606484555368037,6.99,0.045,0.06,CRITICAL,avg_dqi_score is 7.0 standard deviations above the mean (0.461 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 594,USA,AMERICA,avg_dqi_score,0.2015041347150943,2.64,0.045,0.06,MEDIUM,avg_dqi_score is 2.6 standard deviations above the mean (0.202 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 597,IND,ASIA,avg_dqi_score,0.217412612522913,2.9,0.045,0.06,MEDIUM,avg_dqi_score is 2.9 standard deviations above the mean (0.217 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 6,TUR,EMEA,avg_dqi_score,0.2535195035460993,3.51,0.045,0.06,HIGH,avg_dqi_score is 3.5 standard deviations above the mean (0.254 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 880,DEU,EMEA,avg_dqi_score,0.1982966209475264,2.58,0.045,0.06,MEDIUM,avg_dqi_score is 2.6 standard deviations above the mean (0.198 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 883,DEU,EMEA,avg_dqi_score,0.2876667147137,4.08,0.045,0.06,CRITICAL,avg_dqi_score is 4.1 standard deviations above the mean (0.288 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
