study,site_id,anomaly_count,critical_count,high_count,medium_count,low_count,anomaly_types,type_diversity,anomaly_score,top_anomalies
Study_21,Site 172,6,4,1,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,subject_count is 5.1 standard deviations above the mean (139.000 vs mean 17.051); high_risk_count is 7.2 standard deviations above the mean (27.000 vs mean 1.548); subjects_with_issues is 3.8 standard deviations above the mean (27.000 vs mean 3.590)
Study_21,Site 1263,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (8.000) is outside IQR bounds [-1.500, 2.500]; Site has 8 pending SAE but not classified as High risk"
Study_21,Site 1245,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (6.000) is outside IQR bounds [-1.500, 2.500]; Site has 6 pending SAE but not classified as High risk"
Study_21,Site 1158,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (8.000) is outside IQR bounds [-1.500, 2.500]; Site has 8 pending SAE but not classified as High risk"
Study_21,Site 1520,8,4,4,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,subject_count is 5.4 standard deviations above the mean (145.000 vs mean 17.051); high_risk_count is 4.4 standard deviations above the mean (17.000 vs mean 1.548); subjects_with_issues is 3.8 standard deviations above the mean (27.000 vs mean 3.590)
Study_21,Site 1035,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (8.000) is outside IQR bounds [-1.500, 2.500]; Site has 8 pending SAE but not classified as High risk"
Study_21,Site 920,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (7.000) is outside IQR bounds [-1.500, 2.500]; Site has 7 pending SAE but not classified as High risk"
Study_21,Site 1389,8,5,2,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,subject_count is 4.0 standard deviations above the mean (113.000 vs mean 17.051); high_risk_count is 8.7 standard deviations above the mean (32.000 vs mean 1.548); subjects_with_issues is 5.0 standard deviations above the mean (34.000 vs mean 3.590)
Study_11,Site 468,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (7.000) is outside IQR bounds [-1.500, 2.500]; Site has 7 pending SAE but not classified as High risk"
Study_21,Site 1592,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (6.000) is outside IQR bounds [-1.500, 2.500]; Site has 6 pending SAE but not classified as High risk"
Study_21,Site 1539,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (6.000) is outside IQR bounds [-1.500, 2.500]; Site has 6 pending SAE but not classified as High risk"
Study_21,Site 1532,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (6.000) is outside IQR bounds [-1.500, 2.500]; Site has 6 pending SAE but not classified as High risk"
Study_21,Site 1123,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (6.000) is outside IQR bounds [-1.500, 2.500]; Site has 6 pending SAE but not classified as High risk"
Study_21,Site 129,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (6.000) is outside IQR bounds [-1.500, 2.500]; Site has 6 pending SAE but not classified as High risk"
Study_21,Site 1354,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (6.000) is outside IQR bounds [-1.500, 2.500]; Site has 6 pending SAE but not classified as High risk"
Study_21,Site 1473,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (6.000) is outside IQR bounds [-1.500, 2.500]; Site has 6 pending SAE but not classified as High risk"
Study_21,Site 1478,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (6.000) is outside IQR bounds [-1.500, 2.500]; Site has 6 pending SAE but not classified as High risk"
Study_21,Site 843,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (8.000) is outside IQR bounds [-1.500, 2.500]; Site has 8 pending SAE but not classified as High risk"
Study_21,Site 517,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (6.000) is outside IQR bounds [-1.500, 2.500]; Site has 6 pending SAE but not classified as High risk"
Study_21,Site 344,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (7.000) is outside IQR bounds [-1.500, 2.500]; Site has 7 pending SAE but not classified as High risk"
Study_21,Site 1498,2,1,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,"sae_pending_count_sum (6.000) is outside IQR bounds [-1.500, 2.500]; Site has 6 pending SAE but not classified as High risk"
Study_23,Site 79,5,4,1,0,0,STATISTICAL_OUTLIER,1,1.045,"subject_count is 4.8 standard deviations above the mean (131.000 vs mean 17.051); subjects_with_issues is 8.2 standard deviations above the mean (54.000 vs mean 3.590); uncoded_meddra_count_sum (1.000) is outside IQR bounds [0.000, 0.000]"
Study_21,Site 1110,9,5,3,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.033,subject_count is 5.8 standard deviations above the mean (155.000 vs mean 17.051); high_risk_count is 9.2 standard deviations above the mean (34.000 vs mean 1.548); subjects_with_issues is 5.6 standard deviations above the mean (38.000 vs mean 3.590)
Study_21,Site 950,9,5,3,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.033,subject_count is 4.5 standard deviations above the mean (125.000 vs mean 17.051); high_risk_count is 9.5 standard deviations above the mean (35.000 vs mean 1.548); subjects_with_issues is 5.1 standard deviations above the mean (35.000 vs mean 3.590)
Study_21,Site 1513,9,5,3,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.033,subject_count is 7.7 standard deviations above the mean (200.000 vs mean 17.051); high_risk_count is 7.0 standard deviations above the mean (26.000 vs mean 1.548); subjects_with_issues is 4.6 standard deviations above the mean (32.000 vs mean 3.590)
Study_23,Site 2,4,3,1,0,0,STATISTICAL_OUTLIER,1,1.031,subject_count is 9.7 standard deviations above the mean (248.000 vs mean 17.051); subjects_with_issues is 9.1 standard deviations above the mean (59.000 vs mean 3.590); edrr_open_issues_sum is 6.1 standard deviations above the mean (30.000 vs mean 0.631)
Study_21,Site 201,7,4,2,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.029,subject_count is 4.5 standard deviations above the mean (124.000 vs mean 17.051); high_risk_count is 6.1 standard deviations above the mean (23.000 vs mean 1.548); subjects_with_issues is 3.5 standard deviations above the mean (25.000 vs mean 3.590)
Study_17,Site 325,7,3,4,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.029,"avg_dqi_score is 4.3 standard deviations above the mean (0.303 vs mean 0.045); uncoded_meddra_count_sum (1.000) is outside IQR bounds [0.000, 0.000]; missing_pages_count_sum is 5.3 standard deviations above the mean (34.000 vs mean 1.797)"
Study_21,Site 1632,7,3,4,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.029,subject_count is 3.3 standard deviations above the mean (95.000 vs mean 17.051); high_risk_count is 5.5 standard deviations above the mean (21.000 vs mean 1.548); subjects_with_issues is 3.7 standard deviations above the mean (26.000 vs mean 3.590)
Study_21,Site 1560,5,2,3,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.02,"high_risk_count is 4.1 standard deviations above the mean (16.000 vs mean 1.548); subjects_with_issues (16.000) is outside IQR bounds [-3.500, 8.500]; sae_pending_count_sum is 3.0 standard deviations above the mean (16.000 vs mean 1.591)"
Study_21,Site 930,8,4,3,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.012,subject_count is 5.5 standard deviations above the mean (147.000 vs mean 17.051); high_risk_count is 7.2 standard deviations above the mean (27.000 vs mean 1.548); subjects_with_issues is 4.0 standard deviations above the mean (28.000 vs mean 3.590)
Study_22,Site 958,3,2,1,0,0,STATISTICAL_OUTLIER,1,1.008,"missing_visit_count_sum is 4.7 standard deviations above the mean (7.000 vs mean 0.472); missing_pages_count_sum (12.000) is outside IQR bounds [-1.500, 2.500]; max_days_outstanding_sum is 7.6 standard deviations above the mean (431.000 vs mean 12.455)"
Study_23,Site 467,3,2,1,0,0,STATISTICAL_OUTLIER,1,1.008,"subject_count is 4.8 standard deviations above the mean (131.000 vs mean 17.051); subjects_with_issues is 5.8 standard deviations above the mean (39.000 vs mean 3.590); inactivated_forms_count_sum (192.000) is outside IQR bounds [-1.500, 2.500]"
Study_5,Site 2,10,1,9,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER, VELOCITY_ANOMALY",3,1.008,"avg_dqi_score is 3.7 standard deviations above the mean (0.265 vs mean 0.045); missing_visit_count_sum (3.000) is outside IQR bounds [0.000, 0.000]; missing_pages_count_sum is 3.7 standard deviations above the mean (24.000 vs mean 1.797)"
Study_21,Site 911,6,3,2,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.0,"subject_count (74.000) is outside IQR bounds [-21.500, 46.500]; high_risk_count is 6.1 standard deviations above the mean (23.000 vs mean 1.548); subjects_with_issues is 3.2 standard deviations above the mean (23.000 vs mean 3.590)"
Study_21,Site 1506,3,1,2,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.0,"sae_pending_count_sum (8.000) is outside IQR bounds [-1.500, 2.500]; uncoded_meddra_count_sum (1.000) is outside IQR bounds [0.000, 0.000]; Site has 8 pending SAE but not classified as High risk"
Study_4,Site 241,3,2,0,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.0,sae_pending_count_sum is 4.9 standard deviations above the mean (25.000 vs mean 1.591); Site has 25 pending SAE but not classified as High risk; sae represents 100% of all issues (25/25)
Study_21,Site 1516,3,1,2,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.0,"subject_count is 3.1 standard deviations above the mean (90.000 vs mean 17.051); sae_pending_count_sum (11.000) is outside IQR bounds [-1.500, 2.500]; Site has 11 pending SAE but not classified as High risk"
Study_21,Site 1527,9,4,4,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.0,subject_count is 3.3 standard deviations above the mean (96.000 vs mean 17.051); high_risk_count is 5.2 standard deviations above the mean (20.000 vs mean 1.548); subjects_with_issues is 3.0 standard deviations above the mean (22.000 vs mean 3.590)
Study_8,Site 317,3,1,2,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.0,"sae_pending_count_sum (13.000) is outside IQR bounds [-1.500, 2.500]; inactivated_forms_count_sum (65.000) is outside IQR bounds [-1.500, 2.500]; Site has 13 pending SAE but not classified as High risk"
Study_4,Site 209,3,1,2,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.0,"sae_pending_count_sum is 3.2 standard deviations above the mean (17.000 vs mean 1.591); edrr_open_issues_sum (1.000) is outside IQR bounds [0.000, 0.000]; Site has 17 pending SAE but not classified as High risk"
Study_21,Site 1467,9,4,4,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.0,subject_count is 3.5 standard deviations above the mean (101.000 vs mean 17.051); high_risk_count is 8.1 standard deviations above the mean (30.000 vs mean 1.548); subjects_with_issues is 5.3 standard deviations above the mean (36.000 vs mean 3.590)
Study_21,Site 537,3,1,2,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.0,"sae_pending_count_sum (7.000) is outside IQR bounds [-1.500, 2.500]; edrr_open_issues_sum (2.000) is outside IQR bounds [0.000, 0.000]; Site has 7 pending SAE but not classified as High risk"
Study_22,Site 58,3,1,2,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.0,"sae_pending_count_sum (9.000) is outside IQR bounds [-1.500, 2.500]; uncoded_meddra_count_sum (1.000) is outside IQR bounds [0.000, 0.000]; Site has 9 pending SAE but not classified as High risk"
Study_4,Site 211,3,2,0,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.0,sae_pending_count_sum is 10.9 standard deviations above the mean (54.000 vs mean 1.591); Site has 54 pending SAE but not classified as High risk; sae represents 100% of all issues (54/54)
Study_21,Site 875,3,1,2,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.0,"sae_pending_count_sum (7.000) is outside IQR bounds [-1.500, 2.500]; max_days_page_missing_sum (9.000) is outside IQR bounds [0.000, 0.000]; Site has 7 pending SAE but not classified as High risk"
Study_21,Site 931,7,3,3,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.986,subject_count is 5.0 standard deviations above the mean (136.000 vs mean 17.051); high_risk_count is 4.1 standard deviations above the mean (16.000 vs mean 1.548); subjects_with_issues is 2.5 standard deviations above the mean (19.000 vs mean 3.590)
Study_7,Site 12,7,3,3,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.986,avg_dqi_score is 5.1 standard deviations above the mean (0.351 vs mean 0.045); uncoded_meddra_count_sum is 7.4 standard deviations above the mean (7.000 vs mean 0.156); missing_pages_count_sum is 3.8 standard deviations above the mean (25.000 vs mean 1.797)
Study_5,Site 329,7,2,5,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.986,"subjects_with_issues (18.000) is outside IQR bounds [-3.500, 8.500]; missing_pages_count_sum is 5.5 standard deviations above the mean (35.000 vs mean 1.797); lab_issues_count_sum (9.000) is outside IQR bounds [0.000, 0.000]"
Study_1,Site 27,7,3,3,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.986,"avg_dqi_score is 5.0 standard deviations above the mean (0.340 vs mean 0.045); sae_pending_count_sum is 7.4 standard deviations above the mean (37.000 vs mean 1.591); uncoded_meddra_count_sum (2.000) is outside IQR bounds [0.000, 0.000]"
Study_21,Site 171,4,1,3,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.975,"sae_pending_count_sum (6.000) is outside IQR bounds [-1.500, 2.500]; missing_visit_count_sum (1.000) is outside IQR bounds [0.000, 0.000]; max_days_outstanding_sum (1.000) is outside IQR bounds [0.000, 0.000]"
Study_21,Site 1468,8,4,2,2,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.975,subject_count is 2.8 standard deviations above the mean (84.000 vs mean 17.051); high_risk_count is 5.5 standard deviations above the mean (21.000 vs mean 1.548); subjects_with_issues is 3.2 standard deviations above the mean (23.000 vs mean 3.590)
Study_21,Site 1441,4,1,3,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.975,"sae_pending_count_sum (6.000) is outside IQR bounds [-1.500, 2.500]; missing_visit_count_sum (2.000) is outside IQR bounds [0.000, 0.000]; max_days_outstanding_sum (17.000) is outside IQR bounds [0.000, 0.000]"
Study_21,Site 1313,4,1,3,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.975,"sae_pending_count_sum (8.000) is outside IQR bounds [-1.500, 2.500]; missing_visit_count_sum (1.000) is outside IQR bounds [0.000, 0.000]; max_days_page_missing_sum (7.000) is outside IQR bounds [0.000, 0.000]"
Study_21,Site 1528,8,2,6,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.975,"subject_count is 3.5 standard deviations above the mean (100.000 vs mean 17.051); high_risk_count is 4.1 standard deviations above the mean (16.000 vs mean 1.548); subjects_with_issues (17.000) is outside IQR bounds [-3.500, 8.500]"
Study_21,Site 1514,9,3,5,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.967,subject_count is 4.0 standard deviations above the mean (112.000 vs mean 17.051); high_risk_count is 7.2 standard deviations above the mean (27.000 vs mean 1.548); subjects_with_issues is 3.8 standard deviations above the mean (27.000 vs mean 3.590)
Study_21,Site 923,9,4,3,2,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.967,subject_count is 5.8 standard deviations above the mean (156.000 vs mean 17.051); high_risk_count is 5.2 standard deviations above the mean (20.000 vs mean 1.548); subjects_with_issues is 2.8 standard deviations above the mean (21.000 vs mean 3.590)
Study_21,Site 1400,9,3,5,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.967,subject_count is 3.4 standard deviations above the mean (99.000 vs mean 17.051); high_risk_count is 6.1 standard deviations above the mean (23.000 vs mean 1.548); subjects_with_issues is 3.3 standard deviations above the mean (24.000 vs mean 3.590)
Study_23,Site 9,4,2,2,0,0,STATISTICAL_OUTLIER,1,0.963,"subject_count is 6.6 standard deviations above the mean (175.000 vs mean 17.051); subjects_with_issues is 6.1 standard deviations above the mean (41.000 vs mean 3.590); edrr_open_issues_sum (9.000) is outside IQR bounds [0.000, 0.000]"
Study_9,Site 177,2,1,1,0,0,STATISTICAL_OUTLIER,1,0.963,"subjects_with_issues (16.000) is outside IQR bounds [-3.500, 8.500]; inactivated_forms_count_sum is 5.0 standard deviations above the mean (577.000 vs mean 19.638)"
Study_9,Site 110,2,1,1,0,0,STATISTICAL_OUTLIER,1,0.963,subjects_with_issues is 3.0 standard deviations above the mean (22.000 vs mean 3.590); inactivated_forms_count_sum is 14.0 standard deviations above the mean (1587.000 vs mean 19.638)
Study_25,Site 2193,2,1,1,0,0,STATISTICAL_OUTLIER,1,0.963,"subjects_with_issues is 4.6 standard deviations above the mean (32.000 vs mean 3.590); inactivated_forms_count_sum (234.000) is outside IQR bounds [-1.500, 2.500]"
Study_23,Site 504,2,1,1,0,0,STATISTICAL_OUTLIER,1,0.963,"subjects_with_issues is 6.0 standard deviations above the mean (40.000 vs mean 3.590); inactivated_forms_count_sum (63.000) is outside IQR bounds [-1.500, 2.500]"
Study_21,Site 1492,2,1,1,0,0,STATISTICAL_OUTLIER,1,0.963,"sae_pending_count_sum (5.000) is outside IQR bounds [-1.500, 2.500]; max_days_page_missing_sum is 6.7 standard deviations above the mean (499.000 vs mean 15.133)"
Study_16,Site 766,2,1,1,0,0,STATISTICAL_OUTLIER,1,0.963,"edrr_open_issues_sum is 7.4 standard deviations above the mean (36.000 vs mean 0.631); inactivated_forms_count_sum (15.000) is outside IQR bounds [-1.500, 2.500]"
Study_22,Site 16,2,1,1,0,0,STATISTICAL_OUTLIER,1,0.963,"max_days_page_missing_sum (22.000) is outside IQR bounds [0.000, 0.000]; uncoded_whodd_count_sum is 27.2 standard deviations above the mean (47.000 vs mean 0.294)"
Study_25,Site 2188,2,1,1,0,0,STATISTICAL_OUTLIER,1,0.963,"subjects_with_issues (14.000) is outside IQR bounds [-3.500, 8.500]; inactivated_forms_count_sum is 4.8 standard deviations above the mean (550.000 vs mean 19.638)"
Study_9,Site 87,2,1,1,0,0,STATISTICAL_OUTLIER,1,0.963,subjects_with_issues is 3.7 standard deviations above the mean (26.000 vs mean 3.590); inactivated_forms_count_sum is 17.9 standard deviations above the mean (2013.000 vs mean 19.638)
Study_9,Site 165,2,1,1,0,0,STATISTICAL_OUTLIER,1,0.963,"subjects_with_issues (18.000) is outside IQR bounds [-3.500, 8.500]; inactivated_forms_count_sum is 6.1 standard deviations above the mean (705.000 vs mean 19.638)"
Study_25,Site 2224,2,1,1,0,0,STATISTICAL_OUTLIER,1,0.963,"subjects_with_issues (18.000) is outside IQR bounds [-3.500, 8.500]; inactivated_forms_count_sum is 5.0 standard deviations above the mean (580.000 vs mean 19.638)"
Study_23,Site 47,4,2,2,0,0,STATISTICAL_OUTLIER,1,0.963,"subject_count is 6.2 standard deviations above the mean (165.000 vs mean 17.051); subjects_with_issues is 4.6 standard deviations above the mean (32.000 vs mean 3.590); lab_issues_count_sum (1.000) is outside IQR bounds [0.000, 0.000]"
Study_9,Site 15,2,1,1,0,0,STATISTICAL_OUTLIER,1,0.963,"subjects_with_issues (14.000) is outside IQR bounds [-3.500, 8.500]; inactivated_forms_count_sum is 5.5 standard deviations above the mean (628.000 vs mean 19.638)"
Study_21,Site 437,5,2,2,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.96,"subject_count is 4.2 standard deviations above the mean (118.000 vs mean 17.051); high_risk_count is 3.5 standard deviations above the mean (14.000 vs mean 1.548); subjects_with_issues (14.000) is outside IQR bounds [-3.500, 8.500]"
Study_21,Site 987,5,2,2,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.96,"subject_count (56.000) is outside IQR bounds [-21.500, 46.500]; high_risk_count is 4.4 standard deviations above the mean (17.000 vs mean 1.548); subjects_with_issues (17.000) is outside IQR bounds [-3.500, 8.500]"
Study_21,Site 1602,5,2,2,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.96,"high_risk_count (9.000) is outside IQR bounds [-3.000, 5.000]; subjects_with_issues (10.000) is outside IQR bounds [-3.500, 8.500]; sae_pending_count_sum (9.000) is outside IQR bounds [-1.500, 2.500]"
Study_21,Site 1432,5,2,2,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.96,"high_risk_count (9.000) is outside IQR bounds [-3.000, 5.000]; subjects_with_issues (9.000) is outside IQR bounds [-3.500, 8.500]; sae_pending_count_sum (9.000) is outside IQR bounds [-1.500, 2.500]"
Study_21,Site 1417,5,2,2,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,0.96,"subject_count (60.000) is outside IQR bounds [-21.500, 46.500]; high_risk_count is 4.7 standard deviations above the mean (18.000 vs mean 1.548); subjects_with_issues (18.000) is outside IQR bounds [-3.500, 8.500]"
