study,site_id,country,region,subject_count,avg_dqi_score,max_dqi_score,std_dqi_score,total_issue_types,avg_issue_types,high_risk_count,medium_risk_count,subjects_with_issues,sae_pending_count_sum,uncoded_meddra_count_sum,missing_visit_count_sum,missing_pages_count_sum,lab_issues_count_sum,max_days_outstanding_sum,max_days_page_missing_sum,uncoded_whodd_count_sum,edrr_open_issues_sum,inactivated_forms_count_sum,site_risk_category
Study_1,Site 25,GBR,EMEA,2,0.0568201754385965,0.06333333333333332,0.009210996228614213,2,1.0,0,2,2,0,0,0,0,0,0,0,0,0,93,Medium
Study_1,Site 26,CHN,ASIA,3,0.03819444444444445,0.11458333333333334,0.06615471834464462,1,0.3333333333333333,0,1,1,0,0,0,5,0,0,0,0,0,0,Low
Study_1,Site 27,CHN,ASIA,3,0.34013171307473583,0.5053841743119266,0.2515477673276811,12,4.0,2,1,3,37,2,0,2,0,0,0,2,2,504,High
Study_1,Site 3,FRA,EMEA,3,0.12220512359011278,0.23994870410367172,0.10196893185728044,6,2.0,0,3,3,0,0,0,1,30,0,0,0,4,537,High
Study_1,Site 4,FRA,EMEA,2,0.2668846244428106,0.2676466557143514,0.0010776749591654732,9,4.5,2,0,2,0,0,0,10,10,0,139,0,1,483,High
Study_1,Site 5,AUT,EMEA,1,0.09583333333333333,0.09583333333333333,0.0,1,1.0,0,1,1,0,0,0,2,0,0,0,0,0,0,Medium
Study_1,Site 6,AUT,EMEA,2,0.2949393825453292,0.4322386941686726,0.19417054860222216,8,4.0,1,1,2,0,0,1,28,80,17,88,0,0,4,High
Study_1,Site 7,ISR,EMEA,1,0.26395937439000594,0.26395937439000594,0.0,5,5.0,1,0,1,0,0,0,2,0,0,218,1,1,130,High
Study_1,Site 8,ISR,EMEA,1,0.049978070175438614,0.049978070175438614,0.0,1,1.0,0,1,1,0,0,0,0,0,0,0,0,0,5,Medium
Study_1,Site 9,CZE,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 11,HUN,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 149,POL,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 153,ITA,EMEA,1,0.15833333333333333,0.15833333333333333,0.0,1,1.0,0,1,1,0,2,0,0,0,0,0,0,0,0,High
Study_10,Site 154,ITA,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 28,USA,AMERICA,4,0.07555813056232098,0.13340602836879434,0.05541430786007671,4,1.0,0,3,3,0,0,0,1,4,0,43,0,0,0,Medium
Study_10,Site 29,USA,AMERICA,1,0.27753329569100654,0.27753329569100654,0.0,3,3.0,1,0,1,0,0,2,0,2,45,0,0,0,0,High
Study_10,Site 32,USA,AMERICA,1,0.06883792048929666,0.06883792048929666,0.0,1,1.0,0,1,1,0,0,0,0,0,0,0,1,0,0,Medium
Study_10,Site 33,USA,AMERICA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 357,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 36,USA,AMERICA,3,0.06878824694024478,0.12195149388048956,0.06245916412881917,3,1.0,0,2,2,0,0,0,0,6,0,0,0,1,0,Medium
Study_10,Site 38,USA,AMERICA,6,0.07804833666498169,0.17370921985815602,0.08764755319832773,6,1.0,0,3,3,0,0,0,20,2,0,32,0,1,0,Medium
Study_10,Site 40,USA,AMERICA,3,0.17004232952040255,0.2702206814314087,0.14803896680897363,6,2.0,1,1,2,0,0,3,1,2,35,0,0,0,0,High
Study_10,Site 42,USA,AMERICA,2,0.07762329013678906,0.15524658027357813,0.1097759096674688,2,1.0,0,1,1,0,0,0,2,2,0,0,0,0,0,Medium
Study_10,Site 451,USA,AMERICA,3,0.08477321814254861,0.08549316054715622,0.0006234884116518523,3,1.0,0,3,3,0,0,0,0,8,0,0,0,0,0,Medium
Study_10,Site 452,USA,AMERICA,1,0.1927465802735781,0.1927465802735781,0.0,2,2.0,0,1,1,0,1,0,0,2,0,0,0,0,0,High
Study_10,Site 453,USA,AMERICA,6,0.07290750946829132,0.12087158027357811,0.043936868154066486,7,1.1666666666666667,0,5,5,0,0,0,0,8,0,0,2,1,2,Medium
Study_10,Site 454,USA,AMERICA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 455,USA,AMERICA,6,0.042206623470122405,0.0844132469402448,0.04623503950142602,3,0.5,0,3,3,0,0,0,0,6,0,0,0,0,0,Low
Study_10,Site 456,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 457,USA,AMERICA,1,0.08549316054715622,0.08549316054715622,0.0,1,1.0,0,1,1,0,0,0,0,4,0,0,0,0,0,Medium
Study_10,Site 458,USA,AMERICA,2,0.07662558371477073,0.0844132469402448,0.011013418952659632,2,1.0,0,2,2,0,0,0,0,2,0,0,1,0,0,Medium
Study_10,Site 459,CHN,ASIA,2,0.07397163120567377,0.14794326241134753,0.1046116840819247,2,1.0,0,1,1,0,0,0,4,0,0,10,0,0,0,Medium
Study_10,Site 460,CHN,ASIA,3,0.039108187134502925,0.11732456140350878,0.06773736710887057,2,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,8,0,2,Low
Study_10,Site 461,JPN,ASIA,2,0.0844132469402448,0.0844132469402448,0.0,2,1.0,0,2,2,0,0,0,0,4,0,0,0,0,0,Medium
Study_10,Site 462,JPN,ASIA,2,0.18244509864742736,0.2096436170212766,0.0384645135607514,5,2.5,0,2,2,0,0,0,5,2,0,7,14,0,0,High
Study_10,Site 463,JPN,ASIA,4,0.19087408670206535,0.36066489361702125,0.13336292724542123,9,2.25,1,3,4,0,4,1,3,6,8,15,33,0,0,High
Study_10,Site 464,POL,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 465,ESP,EMEA,3,0.016659356725146204,0.049978070175438614,0.02885485226936749,1,0.3333333333333333,0,1,1,0,0,0,0,0,0,0,0,0,5,Low
Study_10,Site 50,CAN,AMERICA,2,0.10633220718489311,0.12825116742954143,0.030998090851098344,3,1.5,0,2,2,0,0,0,0,4,0,0,1,0,0,High
Study_10,Site 51,CAN,AMERICA,3,0.0281377489800816,0.0844132469402448,0.048736010844120686,1,0.3333333333333333,0,1,1,0,0,0,0,2,0,0,0,0,0,Low
Study_10,Site 79,CHN,ASIA,1,0.18782894736842104,0.18782894736842104,0.0,3,3.0,0,1,1,0,0,0,2,0,0,0,6,0,1,High
Study_10,Site 8,CHN,ASIA,3,0.044444444444444446,0.13333333333333333,0.0769800358919501,1,0.3333333333333333,0,1,1,0,1,0,0,0,0,0,0,0,0,Medium
Study_10,Site 87,CZE,EMEA,1,0.10833333333333334,0.10833333333333334,0.0,1,1.0,0,1,1,0,0,0,4,0,0,0,0,0,0,High
Study_10,Site 9,JPN,ASIA,3,0.0562754979601632,0.0844132469402448,0.048736010844120686,2,0.6666666666666666,0,2,2,0,0,0,0,4,0,0,0,0,0,Medium
Study_11,Site 12,ESP,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 125,NLD,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 127,NLD,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 128,NLD,EMEA,3,0.08252818403412554,0.24758455210237662,0.14294300780350008,3,1.0,1,0,1,0,0,1,1,0,31,0,0,0,0,Medium
Study_11,Site 130,POL,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 131,POL,EMEA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 14,CAN,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 148,CHE,EMEA,10,0.017916666666666668,0.08958333333333333,0.03777164982978898,2,0.2,0,2,2,0,0,0,2,0,0,0,0,0,0,Low
Study_11,Site 149,CHE,EMEA,7,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 15,CAN,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 155,GBR,EMEA,1,0.0844132469402448,0.0844132469402448,0.0,1,1.0,0,1,1,0,0,0,0,2,0,0,0,0,0,Medium
Study_11,Site 157,GBR,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 158,GBR,EMEA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 178,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 18,USA,AMERICA,5,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 181,USA,AMERICA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 183,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 184,USA,AMERICA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 186,USA,AMERICA,2,0.06497960992907802,0.12995921985815603,0.09189504563941556,2,1.0,0,1,1,0,0,0,1,0,0,16,0,0,0,Medium
Study_11,Site 188,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 189,USA,AMERICA,4,0.022395833333333334,0.08958333333333333,0.04479166666666667,1,0.25,0,1,1,0,0,0,1,0,0,0,0,0,0,Low
Study_11,Site 2,JPN,ASIA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 20,USA,AMERICA,6,0.008110380116959064,0.048662280701754386,0.01986629290656386,1,0.16666666666666666,0,1,1,0,0,0,0,0,0,0,0,0,1,Low
Study_11,Site 21,USA,AMERICA,5,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 24,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 28,JPN,ASIA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 29,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 31,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 326,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 330,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 34,JPN,ASIA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 35,JPN,ASIA,9,0.016967912291787304,0.08387329013678906,0.0338788238944784,2,0.2222222222222222,0,2,2,0,0,0,0,1,0,0,1,0,0,Low
Study_11,Site 350,BRA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 351,CHL,AMERICA,4,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 353,ESP,EMEA,5,0.017916666666666668,0.08958333333333333,0.04006288459687123,1,0.2,0,1,1,0,0,0,1,0,0,0,0,0,0,Low
Study_11,Site 357,JPN,ASIA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 358,HUN,EMEA,10,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 359,HUN,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 36,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 37,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 39,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 4,JPN,ASIA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 41,JPN,ASIA,8,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 417,ITA,EMEA,1,0.23333333333333334,0.23333333333333334,0.0,1,1.0,1,0,1,2,0,0,0,0,0,0,0,0,0,High
Study_11,Site 42,JPN,ASIA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 450,USA,AMERICA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 452,JPN,ASIA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 453,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 454,JPN,ASIA,4,0.032425975177304965,0.12970390070921986,0.06485195035460993,2,0.5,0,1,1,0,0,0,1,0,0,14,0,0,0,Low
Study_11,Site 455,JPN,ASIA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 459,CZE,EMEA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 466,AUS,ASIA,9,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 467,AUS,ASIA,7,0.010620358235037137,0.07434250764525996,0.028098826724325128,1,0.14285714285714285,0,1,1,0,0,0,0,0,0,0,2,0,0,Low
Study_11,Site 468,AUS,ASIA,5,0.04666666666666667,0.23333333333333334,0.10434983894999018,1,0.2,1,0,1,7,0,0,0,0,0,0,0,0,0,Medium
Study_11,Site 469,LBN,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 470,ZAF,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 471,CZE,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 472,CZE,EMEA,8,0.030033992230347348,0.24027193784277878,0.08494895828873075,3,0.375,0,1,1,0,0,1,1,0,11,0,0,0,0,Low
Study_11,Site 473,CZE,EMEA,4,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 474,CZE,EMEA,8,0.0211033117350612,0.0844132469402448,0.03907574035217123,2,0.25,0,2,2,0,0,0,0,4,0,0,0,0,0,Low
Study_11,Site 475,DNK,EMEA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 476,DNK,EMEA,2,0.1263529188424091,0.2527058376848182,0.17869001147236194,4,2.0,1,0,1,0,0,1,0,1,16,0,0,0,4,High
Study_11,Site 477,DNK,EMEA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 478,DNK,EMEA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 479,FRA,EMEA,4,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 480,FRA,EMEA,8,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 481,FRA,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 482,FRA,EMEA,4,0.11666666666666667,0.23333333333333334,0.1347150628109127,2,0.5,2,0,2,4,0,0,0,0,0,0,0,0,0,High
Study_11,Site 483,FRA,EMEA,7,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 484,FRA,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 485,FRA,EMEA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 486,FRA,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 487,FRA,EMEA,5,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 488,FRA,EMEA,4,0.06994458409506399,0.27977833638025595,0.13988916819012798,3,0.75,1,0,1,0,0,2,1,0,37,0,0,0,0,Medium
Study_11,Site 489,FRA,EMEA,5,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 490,FRA,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 491,FRA,EMEA,3,0.01622076023391813,0.048662280701754386,0.028095180862539024,1,0.3333333333333333,0,1,1,0,0,0,0,0,0,0,0,0,1,Low
Study_11,Site 492,FRA,EMEA,3,0.03194444444444444,0.09583333333333333,0.05532940079733913,1,0.3333333333333333,0,1,1,0,0,0,2,0,0,0,0,0,0,Low
Study_11,Site 493,DEU,EMEA,5,0.03666666666666667,0.18333333333333335,0.08198915917499229,1,0.2,1,0,1,1,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 494,DEU,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 495,DEU,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 496,DEU,EMEA,3,0.09496572212065814,0.28489716636197443,0.16448545569044754,3,1.0,1,0,1,0,0,2,1,0,51,0,0,0,0,Medium
Study_11,Site 497,DEU,EMEA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 498,DEU,EMEA,5,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 499,DEU,EMEA,3,0.030833400397017013,0.09250020119105104,0.053405016057747855,2,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,1,0,1,Low
Study_11,Site 5,ZAF,EMEA,5,0.027846491228070182,0.08958333333333333,0.040660403459761914,2,0.4,0,2,2,0,0,0,1,0,0,0,0,0,4,Low
Study_11,Site 50,TUR,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 500,DEU,EMEA,4,0.027018881910499795,0.10807552764199918,0.05403776382099959,2,0.5,0,1,1,0,0,0,0,2,0,0,0,0,1,Low
Study_11,Site 501,DEU,EMEA,5,0.048054387568555755,0.24027193784277878,0.10745287722041151,3,0.6,0,1,1,0,0,1,1,0,11,0,0,0,0,Medium
Study_11,Site 502,ITA,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 503,ITA,EMEA,8,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 504,ITA,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 505,ITA,EMEA,6,0.014930555555555556,0.08958333333333333,0.03657224268738773,1,0.16666666666666666,0,1,1,0,0,0,1,0,0,0,0,0,0,Low
Study_11,Site 506,ITA,EMEA,5,0.017916666666666668,0.08958333333333333,0.04006288459687123,1,0.2,0,1,1,0,0,0,1,0,0,0,0,0,0,Low
Study_11,Site 507,ITA,EMEA,2,0.17370277269957346,0.25782221206581357,0.118962852010958,4,2.0,1,1,2,0,0,1,2,0,59,0,0,0,0,High
Study_11,Site 508,ITA,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 509,POL,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 510,POL,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 511,POL,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 512,ESP,EMEA,4,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 513,ESP,EMEA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 514,ESP,EMEA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 515,ESP,EMEA,4,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 516,ESP,EMEA,4,0.015364583333333334,0.06145833333333334,0.03072916666666667,1,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,Low
Study_11,Site 517,CHE,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 518,ISR,EMEA,4,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 519,ISR,EMEA,5,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 520,COL,AMERICA,3,0.08167504570383911,0.24502513711151735,0.1414653288695595,3,1.0,0,1,1,0,0,1,1,0,24,0,0,0,0,Medium
Study_11,Site 521,COL,AMERICA,4,0.0211033117350612,0.0844132469402448,0.0422066234701224,1,0.25,0,1,1,0,0,0,0,2,0,0,0,0,0,Low
Study_11,Site 522,COL,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 523,COL,AMERICA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 524,ARG,AMERICA,4,0.061896138025594155,0.24758455210237662,0.12379227605118832,3,0.75,1,0,1,0,0,1,1,0,31,0,0,0,0,Medium
Study_11,Site 525,ARG,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 526,ARG,AMERICA,6,0.02144710401891253,0.12868262411347517,0.05253446130673011,2,0.3333333333333333,0,1,1,0,0,0,1,0,0,6,0,0,0,Low
Study_11,Site 527,ARG,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 528,MEX,AMERICA,8,0.021749572534197265,0.08958333333333333,0.04029608032470119,2,0.25,0,2,2,0,0,0,1,2,0,0,0,0,0,Low
Study_11,Site 529,BRA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 530,BRA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 531,CHL,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
